id,lat_lng,latlng,geocode_data,city,country
1812,"{u'lat': 43.7291825, u'lng': -79.4030832}","43.7291825,-79.4030832",,,
1814,"{u'lat': 40.7643843, u'lng': -73.99355489999999}","40.7643843,-73.9935549",,,
1816,"{u'lat': 60.4040324, u'lng': 25.0130603}","60.4040324,25.0130603",,,
1817,"{u'lat': 41.3850477, u'lng': 2.1733131}","41.3850477,2.1733131",,,
1821,"{u'lat': 28.5383355, u'lng': -81.3792365}","28.5383355,-81.3792365",,,
1822,"{u'lat': 40.0992294, u'lng': -83.1140771}","40.0992294,-83.1140771",,,
1824,"{u'lat': 13.0826802, u'lng': 80.2707184}","13.0826802,80.2707184",,,
1825,"{u'lat': 39.9145637, u'lng': 8.5370846}","39.9145637,8.5370846",,,
1830,"{u'lat': -23.5505199, u'lng': -46.63330939999999}","-23.5505199,-46.6333094",,,
1834,"{u'lat': 47.712481, u'lng': -122.158285}","47.712481,-122.158285",,,
1839,"{u'lat': 51.09608160000001, u'lng': 3.7282173}","51.0960816,3.7282173",,,
1845,"{u'lat': 42.0333607, u'lng': -88.0834059}","42.0333607,-88.0834059",,,
1847,"{u'lat': 42.3473129, u'lng': -71.0782651}","42.3473129,-71.0782651",,,
1849,"{u'lat': 32.9051704, u'lng': -80.6667688}","32.9051704,-80.6667688",,,
1850,"{u'lat': 38.9086635, u'lng': -77.0433177}","38.9086635,-77.0433177",,,
1853,"{u'lat': 35.3100567, u'lng': -85.8811068}","35.3100567,-85.8811068",,,
1857,"{u'lat': 29.74129, u'lng': -95.440033}","29.74129,-95.440033",,,
1859,"{u'lat': 29.4241219, u'lng': -98.49362819999999}","29.4241219,-98.4936282",,,
1864,"{u'lat': 41.8177639, u'lng': -87.726916}","41.8177639,-87.726916",,,
1865,"{u'lat': 34.0838307, u'lng': -84.2946273}","34.0838307,-84.2946273",,,
1868,"{u'lat': 61.2180556, u'lng': -149.9002778}","61.2180556,-149.9002778",,,
1869,"{u'lat': 32.8514845, u'lng': -116.9385756}","32.8514845,-116.9385756",,,
1873,"{u'lat': 41.8437578, u'lng': -71.4174816}","41.8437578,-71.4174816",,,
1874,"{u'lat': 39.30927430000001, u'lng': -76.47496199999999}","39.3092743,-76.474962",,,
1875,"{u'lat': 32.7766642, u'lng': -96.79698789999999}","32.7766642,-96.7969879",,,
1889,"{u'lat': 30.442344, u'lng': -97.769885}","30.442344,-97.769885",,,
1898,"{u'lat': 42.0333623, u'lng': -87.88339909999999}","42.0333623,-87.8833991",,,
1901,"{u'lat': 7.873053999999999, u'lng': 80.77179699999999}","7.873054,80.771797",,,
1902,"{u'lat': 38.9086635, u'lng': -77.0433177}","38.9086635,-77.0433177",,,
1904,"{u'lat': 23.6523707, u'lng': -166.547146}","23.6523707,-166.547146",,,
1906,"{u'lat': 38.9086635, u'lng': -77.0433177}","38.9086635,-77.0433177",,,
1910,"{u'lat': 39.3213629, u'lng': -76.6280361}","39.3213629,-76.6280361",,,
1915,"{u'lat': 40.7643843, u'lng': -73.99355489999999}","40.7643843,-73.9935549",,,
1917,"{u'lat': 38.8768018, u'lng': -104.8123491}","38.8768018,-104.8123491",,,
1918,"{u'lat': 48.379433, u'lng': 31.1655799}","48.379433,31.1655799",,,
1920,"{u'lat': 36.1641683, u'lng': -86.7814932}","36.1641683,-86.7814932",,,
1921,"{u'lat': 34.4195626, u'lng': -119.6989173}","34.4195626,-119.6989173",,,
1926,"{u'lat': 27.773288, u'lng': -82.634306}","27.773288,-82.634306",,,
1935,"{u'lat': 40.7643843, u'lng': -73.99355489999999}","40.7643843,-73.9935549",,,
1938,"{u'lat': -23.5113691, u'lng': -46.87294199999999}","-23.5113691,-46.872942",,,
1940,"{u'lat': -35.675147, u'lng': -71.542969}","-35.675147,-71.542969",,,
1941,"{u'lat': 42.6026359, u'lng': 20.902977}","42.6026359,20.902977",,,
1943,"{u'lat': 33.8674044, u'lng': -117.9981387}","33.8674044,-117.9981387",,,
1949,"{u'lat': 52.2296756, u'lng': 21.0122287}","52.2296756,21.0122287",,,
1956,"{u'lat': -43.534853, u'lng': 172.631688}","-43.534853,172.631688",,,
1958,"{u'lat': 37.8271784, u'lng': -122.2913078}","37.8271784,-122.2913078",,,
1966,"{u'lat': 35.2335009, u'lng': -80.8344157}","35.2335009,-80.8344157",,,
1968,"{u'lat': 28.4135081, u'lng': -81.3728112}","28.4135081,-81.3728112",,,
1989,"{u'lat': 40.72815749999999, u'lng': -74.0776417}","40.7281575,-74.0776417",,,
1991,"{u'lat': 50.82253000000001, u'lng': -0.137163}","50.82253,-0.137163",,,
1993,"{u'lat': 41.8781136, u'lng': -87.6297982}","41.8781136,-87.6297982",,,
